NAME	CIK	CUSIP	FORM10KLINKS
AIRBNB INC	0001559720	009066101	https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/abnb-20231231.htm
ALPHABET INC	0001652044	02079K107	https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm
AMERICAN EXPRESS CO COM	0000004962	025816109	https://www.sec.gov/Archives/edgar/data/4962/000000496224000013/axp-20231231.htm
BOEING CO	0000012927	097023105	https://www.sec.gov/Archives/edgar/data/12927/000001292724000010/ba-20231231.htm
CATERPILLAR INC COM	0000018230	149123101	https://www.sec.gov/Archives/edgar/data/18230/000001823024000009/cat-20231231.htm
CHEVRON CORP	0000093410	166764100	https://www.sec.gov/Archives/edgar/data/93410/000009341024000013/cvx-20231231.htm
COCA COLA CO	0000021344	191216100	https://www.sec.gov/Archives/edgar/data/21344/000002134424000009/ko-20231231.htm
EBAY INC	0001065088	278642103	https://www.sec.gov/Archives/edgar/data/1065088/000106508824000036/ebay-20231231.htm
JOHNSON & JOHNSON INC	0000200406	478160104	https://www.sec.gov/Archives/edgar/data/200406/000020040624000013/jnj-20231231.htm
META PLATFORMS	0001326801	30303M102	https://www.sec.gov/Archives/edgar/data/1326801/000132680124000012/meta-20231231.htm
NETFLIX INC COM	0001065280	64110L106	https://www.sec.gov/Archives/edgar/data/1065280/000106528024000030/nflx-20231231.htm
NVIDIA CORP	0001045810	67066G104	https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/nvda-20240128.htm
PEPSI CO	0000077476	713448108	https://www.sec.gov/Archives/edgar/data/77476/000007747624000008/pep-20231230.htm
PFIZER INC COM	0000078003	717081103	https://www.sec.gov/Archives/edgar/data/78003/000007800324000039/pfe-20231231.htm
TESLA INC COM	0001318605	88160R101	https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/tsla-20231231.htm
UBER TECHNOLOGIES INC	0001543151	90353T100	https://www.sec.gov/Archives/edgar/data/1543151/000154315124000012/uber-20231231.htm
WALMART INC COM	0000104169	931142103	https://www.sec.gov/Archives/edgar/data/104169/000010416924000056/wmt-20240131.htm
WARNER BROS DISCOVERY INC	0001437107	934423104	https://www.sec.gov/Archives/edgar/data/1437107/000143710724000017/wbd-20231231.htm